公共施設種別コード（ＰＯＩコード）,名称,名称_カナ,郵便番号,所在地,電話番号,FAX番号,URL,緯度,経度,創立年,学級数,給食（完全給食実施＝1、未実施＝0）
511,追浜小学校,ヨコスカシリツオッパマショウガッコウ,237-0067,神奈川県横須賀市鷹取2-16-1,046-865-2231,046-865-2646,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000397.html,35.315323,139.617879,1941,8,1
511,夏島小学校,ヨコスカシリツナツシマショウガッコウ,237-0062,神奈川県横須賀市浦郷町4-35,046-865-3616,046-865-3352,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000316.html,35.316593,139.634008,1960,18,1
511,浦郷小学校,ヨコスカシリツウラゴウショウガッコウ,237-0063,神奈川県横須賀市追浜東町2-14,046-865-3921,046-865-3155,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000401.html,35.313023,139.629758,1874,29,1
511,鷹取小学校,ヨコスカシリツタカトリショウガッコウ,237-0066,神奈川県横須賀市湘南鷹取4-7-1,046-866-1700,046-866-1725,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000403.html,35.307583,139.6143,1975,14,1
511,船越小学校,ヨコスカシリツフナコシショウガッコウ,237-0076,神奈川県横須賀市船越町5-34,046-861-1253,046-861-1553,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000404.html,35.300804,139.626628,1887,17,1
511,田浦小学校,ヨコスカシリツタウラショウガッコウ,237-0075,神奈川県横須賀市田浦町3-55,046-861-1251,046-861-2714,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000406.html,35.290714,139.631267,1923,9,1
511,長浦小学校,ヨコスカシリツナガウラショウガッコウ,238-0048,神奈川県横須賀市安針台3-1,046-823-2324,046-823-2516,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000408.html,35.288035,139.645836,1873,8,1
511,逸見小学校,ヨコスカシリツヘミショウガッコウ,238-0046,神奈川県横須賀市西逸見町1-14,046-822-0201,046-822-0185,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000410.html,35.283285,139.649765,1873,8,1
511,沢山小学校,ヨコスカシリツサワヤマショウガッコウ,238-0045,神奈川県横須賀市東逸見町3-35,046-822-0057,046-823-9849,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000411.html,35.274956,139.650365,1911,9,1
511,桜小学校,ヨコスカシリツサクラショウガッコウ,238-0043,神奈川県横須賀市坂本町1-19,046-822-3707,046-823-9725,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000299.html,35.272766,139.657895,1999,13,1
511,汐入小学校,ヨコスカシリツシオイリショウガッコウ,238-0042,神奈川県横須賀市汐入町2-53,046-822-0166,046-822-0129,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000416.html,35.279795,139.663554,1872,8,1
511,諏訪小学校,ヨコスカシリツスワショウガッコウ,238-0004,神奈川県横須賀市小川町18,046-822-0058,046-823-8906,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000417.html,35.282636,139.673409,1902,17,1
511,田戸小学校,ヨコスカシリツタドショウガッコウ,238-0011,神奈川県横須賀市米が浜通2-12,046-822-0212,046-823-8840,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000415.html,35.274565,139.675503,1922,22,1
511,山崎小学校,ヨコスカシリツヤマザキショウガッコウ,238-0014,神奈川県横須賀市三春町6-4,046-822-0059,046-823-8195,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000413.html,35.265826,139.682642,1912,15,1
511,豊島小学校,ヨコスカシリツトシマショウガッコウ,238-0017,神奈川県横須賀市上町3-21,046-822-0105,046-823-8024,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000412.html,35.270476,139.669514,1872,15,1
511,鶴久保小学校,ヨコスカシリツツルクボショウガッコウ,238-0051,神奈川県横須賀市不入斗町1-1,046-824-0974,046-824-9057,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000326.html,35.268196,139.667144,1908,21,1
511,公郷小学校,ヨコスカシリツクゴウショウガッコウ,238-0022,神奈川県横須賀市公郷町4-5,046-851-0029,046-851-0056,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000405.html,35.255418,139.675423,1949,24,1
511,池上小学校,ヨコスカシリツイケガミショウガッコウ,238-0035,神奈川県横須賀市池上3-5-1,046-851-0447,046-851-0543,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000402.html,35.260207,139.647505,1934,25,1
511,城北小学校,ヨコスカシリツジョウホクショウガッコウ,238-0032,神奈川県横須賀市平作1-6-1,046-851-2210,046-851-2217,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000318.html,35.256178,139.656405,1962,21,1
511,衣笠小学校,ヨコスカシリツキヌガサショウガッコウ,238-0026,神奈川県横須賀市小矢部2-16-1,046-851-0334,046-851-0335,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000307.html,35.255108,139.663734,1873,16,1
511,大矢部小学校,ヨコスカシリツオオヤベショウガッコウ,238-0024,神奈川県横須賀市大矢部3-26-1,046-834-7200,046-834-7330,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000395.html,35.238679,139.675253,1980,15,1
511,森崎小学校,ヨコスカシリツモリサキショウガッコウ,238-0023,神奈川県横須賀市森崎3-13-1,046-836-0233,046-836-0058,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000393.html,35.245039,139.678953,1970,26,1
511,大津小学校,ヨコスカシリツオオツショウガッコウ,239-0808,神奈川県横須賀市大津町3-24-1,046-836-3537,046-836-3878,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000391.html,35.259677,139.693861,1877,16,1
511,根岸小学校,ヨコスカシリツネギシショウガッコウ,239-0808,神奈川県横須賀市大津町5-5-1,046-827-0208,046-821-4316,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000389.html,35.256947,139.686442,1980,23,1
511,走水小学校,ヨコスカシリツハシリミズショウガッコウ,239-0811,神奈川県横須賀市走水2-2-2,046-841-0203,046-841-0206,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000387.html,35.265096,139.728989,1873,8,1
511,馬堀小学校,ヨコスカシリツマボリショウガッコウ,239-0802,神奈川県横須賀市馬堀町4-10-1,046-841-0234,046-841-0244,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000385.html,35.259707,139.71504,1951,13,1
511,望洋小学校,ヨコスカシリツボウヨウショウガッコウ,239-0803,神奈川県横須賀市桜が丘1-50-1,046-835-7766,046-835-7764,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000382.html,35.254637,139.703061,1975,14,1
511,大塚台小学校,ヨコスカシリツオオツカダイショウガッコウ,239-0806,神奈川県横須賀市池田町3-1-1,046-830-5660,046-830-5661,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000482.html,35.245098,139.694461,2003,21,1
511,浦賀小学校,ヨコスカシリツウラガショウガッコウ,239-0822,神奈川県横須賀市浦賀3-8-1,046-841-0028,046-841-0027,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000380.html,35.250448,139.71414,1898,16,1
511,小原台小学校,ヨコスカシリツオバラダイショウガッコウ,239-0812,神奈川県横須賀市小原台3-1,046-841-4666,046-841-4668,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000378.html,35.252687,139.730219,1977,16,1
511,鴨居小学校,ヨコスカシリツカモイショウガッコウ,239-0813,神奈川県横須賀市鴨居3-1-6,046-841-0140,046-841-0145,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000364.html,35.250827,139.733249,1873,15,1
511,高坂小学校,ヨコスカシリツコウザカショウガッコウ,239-0824,神奈川県横須賀市西浦賀3-1-1,046-841-4201,046-841-4203,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000363.html,35.241339,139.71475,1926,15,1
511,岩戸小学校,ヨコスカシリツイワトショウガッコウ,239-0844,神奈川県横須賀市岩戸5-20-1,046-848-3460,046-848-4412,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000362.html,35.23396,139.667724,1974,15,1
511,久里浜小学校,ヨコスカシリツクリハマショウガッコウ,239-0831,神奈川県横須賀市久里浜6-6-1,046-835-0424,046-835-0443,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000361.html,35.22933,139.70783,1873,25,1
511,明浜小学校,ヨコスカシリツアケハマショウガッコウ,239-0831,神奈川県横須賀市久里浜6-7-1,046-835-0323,046-835-0056,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000481.html,35.22804,139.70665,1960,23,1
511,神明小学校,ヨコスカシリツシンメイショウガッコウ,239-0832,神奈川県横須賀市神明町407,046-834-4315,046-834-4468,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000359.html,35.22618,139.701441,1979,20,1
511,粟田小学校,ヨコスカシリツアワタショウガッコウ,239-0833,神奈川県横須賀市ハイランド2-41-1,046-848-6465,046-848-6845,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000358.html,35.223861,139.684952,1973,14,1
511,野比小学校,ヨコスカシリツノビショウガッコウ,239-0841,神奈川県横須賀市野比1-25-1,046-849-7566,046-849-7814,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000356.html,35.215592,139.684702,1982,20,1
511,野比東小学校,ヨコスカシリツノビヒガシショウガッコウ,239-0841,神奈川県横須賀市野比4-6-1,046-847-1031,046-847-1522,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000347.html,35.213782,139.695091,1996,16,1
511,北下浦小学校,ヨコスカシリツキタシタウラショウガッコウ,239-0842,神奈川県横須賀市長沢1-29-1,046-848-0037,046-848-0386,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000355.html,35.202754,139.674543,1901,15,1
511,津久井小学校,ヨコスカシリツツクイショウガッコウ,239-0843,神奈川県横須賀市津久井5-2-1,046-848-5210,046-848-5230,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000353.html,35.207543,139.667514,1976,14,1
511,長井小学校,ヨコスカシリツナガイショウガッコウ,238-0316,神奈川県横須賀市長井5-9-1,046-856-1299,046-856-1413,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000352.html,35.205193,139.612258,1889,15,1
511,富士見小学校,ヨコスカシリツフジミショウガッコウ,238-0313,神奈川県横須賀市武3-19-1,046-856-4757,046-856-4851,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000351.html,35.220242,139.642836,1975,14,1
511,武山小学校,ヨコスカシリツタケヤマショウガッコウ,238-0311,神奈川県横須賀市太田和3-1-1,046-856-3126,046-856-3543,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000350.html,35.224721,139.639286,1891,19,1
511,荻野小学校,ヨコスカシリツオギノショウガッコウ,240-0102,神奈川県横須賀市荻野8-1,046-857-0018,046-857-0028,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000349.html,35.226751,139.628487,1982,10,1
511,大楠小学校,ヨコスカシリツオオグスショウガッコウ,240-0104,神奈川県横須賀市芦名1-29-18,046-856-0154,046-856-0245,http://www.city.yokosuka.kanagawa.jp/8110/sisetu/fc00000348.html,35.23369,139.607729,1897,20,1
,横須賀学院小学校,,,神奈川県横須賀市稲岡町82,046-822-3218,,http://www.city.yokosuka.kanagawa.jp/0120/sisetu/fc00000700.html,35.285024,139.671983,,,
